init_name;avi_name;order;family
ABBOTTS BABBLER;Abbott's babbler;Passeriformes;Pellorneidae
ABBOTTS BOOBY;Abbott's Booby;Pelecaniformes;Sulidae
ABYSSINIAN GROUND HORNBILL;Abyssinian Ground-Hornbill;Bucerotiformes;Bucerotidae
AFRICAN CROWNED CRANE;Grey Crowned-Crane;Gruiformes;Gruidae
AFRICAN EMERALD CUCKOO;African Emerald Cuckoo;Cuculiformes;Cuculidae
AFRICAN FIREFINCH;African Firefinch;Passeriformes;Estrildidae
AFRICAN OYSTER CATCHER;African Oystercatcher;Charadriiformes;Haematopodidae
AFRICAN PIED HORNBILL;African Pied Hornbill;Bucerotiformes;Bucerotidae
AFRICAN PYGMY GOOSE;African Pygmy-goose;Anseriformes;Anatidae
ALBATROSS;Amsterdam Albatross;Procellariiformes;Diomedeidae
ALBERTS TOWHEE;Abert's Towhee;Passeriformes;Passerellidae
ALEXANDRINE PARAKEET;Alexandrine Parakeet;Psittaciformes;Psittaculidae
ALPINE CHOUGH;Yellow-billed Chough;Passeriformes;Corvidae
ALTAMIRA YELLOWTHROAT;Altamira Yellowthroat;Passeriformes;Parulidae
AMERICAN AVOCET;American Avocet;Charadriiformes;Recurvirostridae
AMERICAN BITTERN;American Bittern;Pelecaniformes;Ardeidae
AMERICAN COOT;American Coot;Gruiformes;Rallidae
AMERICAN DIPPER;American Dipper;Passeriformes;Cinclidae
AMERICAN FLAMINGO;American Flamingo;Phoenicopteriformes;Phoenicopteridae
AMERICAN GOLDFINCH;American Goldfinch;Passeriformes;Fringillidae
AMERICAN KESTREL;American Kestrel;Falconiformes;Falconidae
AMERICAN PIPIT;Water Pipit;Passeriformes;Motacillidae
AMERICAN REDSTART;American Redstart;Passeriformes;Parulidae
AMERICAN ROBIN;American Robin;Passeriformes;Turdidae
AMERICAN WIGEON;American Wigeon;Anseriformes;Anatidae
AMETHYST WOODSTAR;Amethyst Woodstar;Apodiformes;Trochilidae
ANDEAN GOOSE;Andean Goose;Anseriformes;Anatidae
ANDEAN LAPWING;Andean Lapwing;Charadriiformes;Charadriidae
ANDEAN SISKIN;Andean Siskin;Passeriformes;Fringillidae
ANHINGA;Anhinga;Pelecaniformes;Anhingidae
ANIANIAU;Anianiau;Passeriformes;Fringillidae
ANNAS HUMMINGBIRD;Anna's Hummingbird;Apodiformes;Trochilidae
ANTBIRD;Allpahuayo Antbird;Passeriformes;Thamnophilidae
ANTILLEAN EUPHONIA;Hispaniolan Euphonia;Passeriformes;Fringillidae
APAPANE;Apapane;Passeriformes;Fringillidae
APOSTLEBIRD;Apostlebird;Passeriformes;Corcoracidae
ARARIPE MANAKIN;Araripe Manakin;Passeriformes;Pipridae
ASHY STORM PETREL;Ashy Storm-Petrel;Procellariiformes;Hydrobatidae
ASHY THRUSHBIRD;Ashy Thrush;Passeriformes;Turdidae
ASIAN CRESTED IBIS;Crested Ibis;Pelecaniformes;Threskiornithidae
ASIAN DOLLARD BIRD;Dollarbird;Coraciiformes;Coraciidae
ASIAN GREEN BEE EATER;Asian Green Bee-eater;Coraciiformes;Meropidae
ASIAN OPENBILL STORK;Asian Openbill;Pelecaniformes;Ciconiidae
AUCKLAND SHAQ;Auckland Island Shag;Pelecaniformes;Phalacrocoracidae
AUSTRAL CANASTERO;Austral Canastero;Passeriformes;Furnariidae
AUSTRALASIAN FIGBIRD;Southern Figbird;Passeriformes;Oriolidae
AVADAVAT;Red Avadavat;Passeriformes;Estrildidae
AZARAS SPINETAIL;Azara's Spinetail;Passeriformes;Furnariidae
AZURE BREASTED PITTA;Azure-breasted Pitta;Passeriformes;Pittidae
AZURE JAY;Azure Jay;Passeriformes;Corvidae
AZURE TANAGER;Azure-shouldered Tanager;Passeriformes;Thraupidae
AZURE TIT;Azure Tit;Passeriformes;Paridae
BAIKAL TEAL;Baikal Teal;Anseriformes;Anatidae
BALD EAGLE;Bald Eagle;Accipitriformes;Accipitridae
BALD IBIS;Waldrapp;Pelecaniformes;Threskiornithidae
BALI STARLING;Bali Myna;Passeriformes;Sturnidae
BALTIMORE ORIOLE;Baltimore Oriole;Passeriformes;Icteridae
BANANAQUIT;Bananaquit;Passeriformes;Thraupidae
BAND TAILED GUAN;Band-tailed Guan;Galliformes;Cracidae
BANDED BROADBILL;Banded Broadbill;Passeriformes;Eurylaimidae
BANDED PITA;Javan Banded Pitta;Passeriformes;Pittidae
BANDED STILT;Banded Stilt;Charadriiformes;Recurvirostridae
BAR-TAILED GODWIT;Bar-tailed Godwit;Charadriiformes;Scolopacidae
BARN OWL;Western Barn Owl;Strigiformes;Tytonidae
BARN SWALLOW;Barn Swallow;Passeriformes;Hirundinidae
BARRED PUFFBIRD;Barred Puffbird;Piciformes;Bucconidae
BARROWS GOLDENEYE;Barrow's Goldeneye;Anseriformes;Anatidae
BAY-BREASTED WARBLER;Bay-breasted Warbler;Passeriformes;Parulidae
BEARDED BARBET;Bearded Barbet;Piciformes;Ramphastidae
BEARDED BELLBIRD;Bearded Bellbird;Passeriformes;Cotingidae
BEARDED REEDLING;Bearded Parrotbill;Passeriformes;Panuridae
BELTED KINGFISHER;Belted Kingfisher;Coraciiformes;Alcedinidae
BIRD OF PARADISE;Emperor Bird-of-paradise;Passeriformes;Paradisaeidae
BLACK AND YELLOW BROADBILL;Black-and-yellow Broadbill;Passeriformes;Eurylaimidae
BLACK BAZA;Black Baza;Accipitriformes;Accipitridae
BLACK BREASTED PUFFBIRD;Black-breasted Puffbird;Piciformes;Bucconidae
BLACK COCKATO;Yellow-tailed Black-Cockatoo;Psittaciformes;Cacatuidae
BLACK FACED SPOONBILL;Black-faced Spoonbill;Pelecaniformes;Threskiornithidae
BLACK FRANCOLIN;Black Francolin;Galliformes;Phasianidae
BLACK HEADED CAIQUE;Black-headed Parrot;Psittaciformes;Psittacidae
BLACK NECKED STILT;Black-necked Stilt;Charadriiformes;Recurvirostridae
BLACK SKIMMER;Black Skimmer;Charadriiformes;Laridae
BLACK SWAN;Black Swan;Anseriformes;Anatidae
BLACK TAIL CRAKE;Black-tailed Crake;Gruiformes;Rallidae
BLACK THROATED BUSHTIT;Black-throated Tit;Passeriformes;Aegithalidae
BLACK THROATED HUET;Black-throated Huet-huet;Passeriformes;Rhinocryptidae
BLACK THROATED WARBLER;Black-throated Blue Warbler;Passeriformes;Parulidae
BLACK VENTED SHEARWATER;Black-vented Shearwater;Procellariiformes;Procellariidae
BLACK VULTURE;Black Vulture;Accipitriformes;Cathartidae
BLACK-CAPPED CHICKADEE;Black-capped Chickadee;Passeriformes;Paridae
BLACK-NECKED GREBE;Black-necked�;Podicipediformes;Podicipedidae
BLACK-THROATED SPARROW;Black-throated Sparrow;Passeriformes;Passerellidae
BLACKBURNIAM WARBLER;Blackburnian Warbler;Passeriformes;Parulidae
BLONDE CRESTED WOODPECKER;Blond-crested Woodpecker;Piciformes;Picidae
BLOOD PHEASANT;Blood Pheasant;Galliformes;Phasianidae
BLUE COAU;Blue Coua;Cuculiformes;Cuculidae
BLUE DACNIS;Blue Dacnis;Passeriformes;Thraupidae
BLUE GRAY GNATCATCHER;Blue-grey Gnatcatcher;Passeriformes;Polioptilidae
BLUE GROSBEAK;Blue Grosbeak;Passeriformes;Cardinalidae
BLUE GROUSE;Dusky Grouse;Galliformes;Phasianidae
BLUE HERON;Pacific Reef-Egret;Pelecaniformes;Ardeidae
BLUE MALKOHA;Yellowbill;Cuculiformes;Cuculidae
BLUE THROATED PIPING GUAN;Trinidad Piping-Guan;Galliformes;Cracidae
BLUE THROATED TOUCANET;Blue-throated Toucanet;Piciformes;Ramphastidae
BOBOLINK;Bobolink;Passeriformes;Icteridae
BORNEAN BRISTLEHEAD;Bornean Bristlehead;Passeriformes;Pityriasidae
